category,metric,variant,condition,project_target,ideal_expected,method,target,measured,unit,tolerance,status,model_path,raw_data_path,plot_path,tool,notes,evidence
Dynamic,SQNR total TD sweep worst,baseline,"5 amplitudes x 2 frequencies x 3 phases, down to 0.0625 FS",method validation; not project full-scale target,reported worst stress point,amplitude/frequency/phase sweep,method validation; not project full-scale target,25.314368453600785,dB,direct/SAR/oracle agreement,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_sqnr_sqdr_sweep.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_sqnr_vs_amplitude.png,python,Worst sweep point is expected to be lower because small-amplitude tests exercise fewer codes.,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_sqnr_sqdr_sweep.csv
Dynamic,SQDR sweep worst,baseline,"5 amplitudes x 2 frequencies x 3 phases, down to 0.0625 FS",method validation; not project full-scale target,reported worst stress point,amplitude/frequency/phase sweep,method validation; not project full-scale target,31.690836409855443,dB,direct/SAR/oracle agreement,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_sqnr_sqdr_sweep.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_sqdr_vs_amplitude.png,python,Worst sweep point is expected to be lower because small-amplitude tests exercise fewer codes.,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_sqnr_sqdr_sweep.csv
Dynamic,SQNR/SQDR model agreement,baseline,5 amplitudes x 2 frequencies x 3 phases,<=0.5 dB,0 dB delta,direct/SAR/oracle sweep,<=0.5 dB,1.2841676095831644e-06,dB,<=0.5 dB,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_sqnr_sqdr_sweep.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_sqnr_vs_amplitude.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dynamic_sqnr_sqdr_sweep.csv
Dynamic,Input/output waveform low_frequency,low_frequency,"k=997, phase=0.37 rad, startup discard=16",CSV rows and multi-panel figure present,"VINP/VINN rails, sampled vdiff, EOC_INT-updated code, ideal DAC output held until next EOC_INT, eq within +/-0.5 LSB",sample/EOC_INT timestamped waveform export,CSV rows and multi-panel figure present,"192 rows, fin=30426.025391 Hz",samples,row count from representative_stimuli,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_input_output_time_low_frequency.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_input_output_time_low_frequency.png,python,"Official input/output waveform comparison converts DOUT through the ideal reconstruction DAC, plots ideal_DAC(DOUT) at EOC_INT, and compares it with the corresponding sampled input x[n].",D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_input_output_time_low_frequency.csv
Dynamic,Output spectrum low_frequency,low_frequency,"k=997, phase=0.37 rad, A=0.8823529411764706 FS peak, window=none","32769 bins for M=65536, no window","fundamental, harmonics 2..10, largest spur, SQNR/SQDR/SQNDR, Psignal/Pqn/Pqd annotated",one-sided coherent FFT dBFS export,"32769 bins for M=65536, no window","fund=-1.0893243059335778 dBFS, fin=30426.025391 Hz",dBFS,"M/2+1 bins, P_FS_sine reference",PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_output_spectrum_low_frequency.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_fft_low_frequency.png,python,Noise floor -95.12815780122104 dBFS/bin; source CSV classifies every FFT bin.,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_output_spectrum_low_frequency.csv
Dynamic,Input/output waveform near_nyquist,near_nyquist,"k=32113, phase=0.37 rad, startup discard=16",CSV rows and multi-panel figure present,"VINP/VINN rails, sampled vdiff, EOC_INT-updated code, ideal DAC output held until next EOC_INT, eq within +/-0.5 LSB",sample/EOC_INT timestamped waveform export,CSV rows and multi-panel figure present,"64 rows, fin=980010.986328 Hz",samples,row count from representative_stimuli,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_input_output_time_near_nyquist.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_input_output_time_near_nyquist.png,python,"Official input/output waveform comparison converts DOUT through the ideal reconstruction DAC, plots ideal_DAC(DOUT) at EOC_INT, and compares it with the corresponding sampled input x[n].",D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_input_output_time_near_nyquist.csv
Dynamic,Output spectrum near_nyquist,near_nyquist,"k=32113, phase=0.37 rad, A=0.8823529411764706 FS peak, window=none","32769 bins for M=65536, no window","fundamental, harmonics 2..10, largest spur, SQNR/SQDR/SQNDR, Psignal/Pqn/Pqd annotated",one-sided coherent FFT dBFS export,"32769 bins for M=65536, no window","fund=-1.0893243059335787 dBFS, fin=980010.986328 Hz",dBFS,"M/2+1 bins, P_FS_sine reference",PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_output_spectrum_near_nyquist.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_fft_near_nyquist.png,python,Noise floor -95.12815780122102 dBFS/bin; source CSV classifies every FFT bin.,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_output_spectrum_near_nyquist.csv
DAC,Low-frequency reconstruction waveform,low_frequency,"k=997, phase=0.37 rad, A=0.8823529411764706 FS peak",official waveform comparison method,official comparison uses sampled input x[n] versus ideal DAC(DOUT) reconstructed from EOC_INT-updated DOUT,input/output comparison by ideal reconstruction DAC,official waveform comparison method,generated,"V, code, LSB",low-frequency input for clear sampled-input/output pairing,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_dac_reconstruction_low_frequency.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\adc_dac_reconstruction_low_frequency.png,python,"This is the preferred waveform-comparison view: DOUT is converted by the ideal reconstruction DAC, updated at EOC_INT, and compared against the matching sampled input.",D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\adc_dac_reconstruction_low_frequency.csv
DAC,DAC DNL,baseline,,<=0.01 LSB ideal,0 LSB,threshold step,<=0.01 LSB ideal,2.6867397195928788e-14,LSB,<=0.01 LSB,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dac_transfer.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\dac_dnl.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\dac_transfer.csv
Timing,Sample rate,baseline,"CLKS=2 MHz, 125 ns track, 375 ns conversion",2 MS/s,2 MS/s with no external SAR clock,CLKS frame timing,2 MS/s,2000000.0,Hz,exact from config,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\timing_budget.csv,,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\timing_budget.csv
Functional,Direct/SAR/oracle vectors,baseline,"edge, transition, center, overrange, random",exact code agreement,0 mismatches,golden vector comparison,exact code agreement,25,vectors,0 mismatches,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\functional_vectors.csv,,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\functional_vectors.csv
Fault Injection,Negative controls,baseline,,all detected,all detected,13 injected faults,all detected,13,faults,all PASS,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\fault_injection_results.csv,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\plots\fault_injection_status.png,python,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\csv\fault_injection_results.csv
External,ngspice smoke,baseline,,PASS,,ideal DAC deck,PASS,PASS,,must run for GO,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\logs\ngspice_smoke.log,,ngspice,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\logs\ngspice_smoke.log
External,cocotb smoke,baseline,,PASS,,ideal SAR core,PASS,PASS,,must run for GO,PASS,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\logs\cocotb_smoke.log,,cocotb+icarus,,D:\PICO\simple_SAR_ADC_repo\verification\ideal_sar\results\logs\cocotb_smoke.log
